feature_id,region,district,township,ex_from,ex_to,kv_type,cable_type,vertex_count,actual_length_km,straight_line_km,detour_extra_km,sinuosity_index,detour_pct,classification,significant_detour
All_states_region_MVLine_tsp_level.1272,Mandalay,Pyinoolwin,Madaya,,,,,2,0.993844,0.993844,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1273,Mandalay,Pyinoolwin,Madaya,,,,,9,12.263761,6.338948,5.924813,1.934668,93.4668,severe_detour,True
All_states_region_MVLine_tsp_level.1274,Mandalay,Pyinoolwin,Madaya,,,,,8,10.356312,9.256296,1.100016,1.11884,11.884,minor_detour,False
All_states_region_MVLine_tsp_level.1275,Mandalay,Pyinoolwin,Madaya,,,,,2,0.260028,0.260028,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1276,Mandalay,Pyinoolwin,Madaya,,,,,2,0.166691,0.166691,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1277,Mandalay,Pyinoolwin,Madaya,,,,,2,0.283264,0.283264,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1278,Mandalay,Pyinoolwin,Madaya,,,,,2,0.301052,0.301052,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1279,Mandalay,Pyinoolwin,Madaya,,,,,11,19.806651,16.586245,3.220407,1.194161,19.4161,minor_detour,False
All_states_region_MVLine_tsp_level.1280,Mandalay,Pyinoolwin,Madaya,,,,,2,0.480118,0.480118,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1281,Mandalay,Pyinoolwin,Madaya,,,,,2,0.679155,0.679155,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1282,Mandalay,Pyinoolwin,Madaya,,,,,2,0.575382,0.575382,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1283,Mandalay,Pyinoolwin,Madaya,,,,,2,0.446335,0.446335,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1284,Mandalay,Pyinoolwin,Madaya,,,,,2,0.465833,0.465833,0.0,1.0,0.0,near_straight,False
